part_number,name,type,href
1,Первый меч,wear_weapon_sword,https://haddan.ru/thing.php?type=1
2,Первый щит,wear_shield_largeshield,https://haddan.ru/thing.php?type=2
3,Первый шлем,wear_helmet_helmet,https://haddan.ru/thing.php?type=3
4,Медное кольцо,wear_ring_ring,https://haddan.ru/thing.php?type=4
5,Часы Public Enemy,wear_underarmor_shirt,https://haddan.ru/thing.php?type=5
6,Бонус в честь дня рождения Хаддана!,gift_card_8march,https://haddan.ru/thing.php?type=6
7,Кубок из коллекции,other_other_other,https://haddan.ru/thing.php?type=7
8,Древний Кубок,other_other_other,https://haddan.ru/thing.php?type=8
9,Ожерелье из зубов демона,wear_underhelmet_cap2,https://haddan.ru/thing.php?type=9
10,Рука грязевого голема,wear_twohanded_hummer,https://haddan.ru/thing.php?type=10
11,Рука Ледяного элементаля,wear_twohanded_hummer,https://haddan.ru/thing.php?type=11
12,Рука Землянного Голема Праха,wear_twohanded_hummer,https://haddan.ru/thing.php?type=12
14,Рука Черного Голема Праха,wear_twohanded_hummer,https://haddan.ru/thing.php?type=14
15,Кулон Дьявола,wear_necklace_necklace,https://haddan.ru/thing.php?type=15
16,Ожерелье Тритона,wear_necklace_necklace,https://haddan.ru/thing.php?type=16
17,Рука Каменного Голема,wear_twohanded_hummer,https://haddan.ru/thing.php?type=17
18,Ожерелье Архангела,wear_necklace_necklace,https://haddan.ru/thing.php?type=18
19,Кулон Демона,wear_necklace_necklace,https://haddan.ru/thing.php?type=19
20,Золото,res_res_res,https://haddan.ru/thing.php?type=20
21,Золотой Подарок,food_potion_potion,https://haddan.ru/thing.php?type=21
23,Клык Фенрира,wear_weapon_axe,https://haddan.ru/thing.php?type=23
24,Кольцо XAOC'а,wear_ring_ring,https://haddan.ru/thing.php?type=24
25,Кулон Флорэнта,wear_necklace_necklace,https://haddan.ru/thing.php?type=25
26,Кулон Ужаса Жнеца,wear_necklace_necklace,https://haddan.ru/thing.php?type=26
27,Цветочный кулон без читов,wear_necklace_necklace,https://haddan.ru/thing.php?type=27
28,Цветочный кулон без читов x1,wear_necklace_necklace,https://haddan.ru/thing.php?type=28
29,Цветочный кулон без читов x2,wear_necklace_necklace,https://haddan.ru/thing.php?type=29
30,Кулон Флорэнтика,wear_necklace_necklace,https://haddan.ru/thing.php?type=30
31,Облачный Атлас,res_res_res,https://haddan.ru/thing.php?type=31
32,Серебро,res_res_res,https://haddan.ru/thing.php?type=32
33,Экстрактор Рун,other_other_other,https://haddan.ru/thing.php?type=33
34,Платина,res_res_res,https://haddan.ru/thing.php?type=34
35,Воительница,gift_award_award,https://haddan.ru/thing.php?type=35
36,Звездное Железо,res_res_res,https://haddan.ru/thing.php?type=36
37,Амулет Упавшей Звезды,wear_amulet_amulet,https://haddan.ru/thing.php?type=37
39,Кольцо Силы,wear_ring_ring,https://haddan.ru/thing.php?type=39
40,Кольцо Ловкости,wear_ring_ring,https://haddan.ru/thing.php?type=40
41,Кольцо Злости,wear_ring_ring,https://haddan.ru/thing.php?type=41
42,Кольцо Здоровья,wear_ring_ring,https://haddan.ru/thing.php?type=42
43,Шкурка грызуна,res_res_res,https://haddan.ru/thing.php?type=43
49,Кулон Темных Пределов Лича,wear_necklace_necklace,https://haddan.ru/thing.php?type=49
50,Дубинка Череп Дварфа,wear_weapon_club,https://haddan.ru/thing.php?type=50
51,Рваная Рубаха,wear_armor_cloth,https://haddan.ru/thing.php?type=51
52,Рваные Штаны,wear_pants_pants,https://haddan.ru/thing.php?type=52
53,Кулон Темных Пределов,wear_necklace_necklace,https://haddan.ru/thing.php?type=53
54,Рваные Сапоги,wear_boots_boots,https://haddan.ru/thing.php?type=54
62,Медное кольцо,wear_ring_ring,https://haddan.ru/thing.php?type=62
68,Эль Жизни,food_potion_potion,https://haddan.ru/thing.php?type=68
69,Эль Силы,food_potion_potion,https://haddan.ru/thing.php?type=69
70,Эль Ловкости,food_potion_potion,https://haddan.ru/thing.php?type=70
71,Эль Злости,food_potion_potion,https://haddan.ru/thing.php?type=71
72,Эль Интуиции,food_potion_potion,https://haddan.ru/thing.php?type=72
73,Сладость,food_potion_potion,https://haddan.ru/thing.php?type=73
74,Маска профессионала,wear_overhelmet_hood,https://haddan.ru/thing.php?type=74
75,Маска профессионала +1,wear_overhelmet_hood,https://haddan.ru/thing.php?type=75
76,Маска профессионала +2,wear_overhelmet_hood,https://haddan.ru/thing.php?type=76
77,Маска профессионала +3,wear_overhelmet_hood,https://haddan.ru/thing.php?type=77
78,Маска профессионала +4,wear_overhelmet_hood,https://haddan.ru/thing.php?type=78
79,Маска лутгоблина,wear_overhelmet_hood,https://haddan.ru/thing.php?type=79
80,Маска лутгоблина +1,wear_overhelmet_hood,https://haddan.ru/thing.php?type=80
81,Маска лутгоблина +2,wear_overhelmet_hood,https://haddan.ru/thing.php?type=81
82,Маска лутгоблина +3,wear_overhelmet_hood,https://haddan.ru/thing.php?type=82
83,Маска лутгоблина +4,wear_overhelmet_hood,https://haddan.ru/thing.php?type=83
84,Гроза Драконов,wear_overhelmet_hood,https://haddan.ru/thing.php?type=84
85,Гроза Драконов +1,wear_overhelmet_hood,https://haddan.ru/thing.php?type=85
86,Гроза Драконов +2,wear_overhelmet_hood,https://haddan.ru/thing.php?type=86
87,Гроза Драконов +3,wear_overhelmet_hood,https://haddan.ru/thing.php?type=87
88,Гроза Драконов +4,wear_overhelmet_hood,https://haddan.ru/thing.php?type=88
89,Маска боевой мощи,wear_overhelmet_hood,https://haddan.ru/thing.php?type=89
90,Маска боевой мощи +1,wear_overhelmet_hood,https://haddan.ru/thing.php?type=90
91,Амулет ускоренного метаболизма solD1Er'a x2,wear_amulet_amulet,https://haddan.ru/thing.php?type=91
92,Маска боевой мощи +2,wear_overhelmet_hood,https://haddan.ru/thing.php?type=92
93,Маска боевой мощи +3,wear_overhelmet_hood,https://haddan.ru/thing.php?type=93
94,Маска боевой мощи +4,wear_overhelmet_hood,https://haddan.ru/thing.php?type=94
95,Руна бессмертного Воителя,rune_rune_rune,https://haddan.ru/thing.php?type=95
96,Руна неиссякаемой Магии,rune_rune_rune,https://haddan.ru/thing.php?type=96
97,Руна последней надежды,rune_rune_rune,https://haddan.ru/thing.php?type=97
98,Эликсир Мощной Ведьмы,food_potion_potion,https://haddan.ru/thing.php?type=98
99,Хозяйственная Ведьма,food_potion_potion,https://haddan.ru/thing.php?type=99
100,Эликсир концентрации Ведьмы,food_potion_potion,https://haddan.ru/thing.php?type=100
101,Эль брони Ведьмы,food_potion_potion,https://haddan.ru/thing.php?type=101
102,Эль темной завесы Ведьмы,food_potion_potion,https://haddan.ru/thing.php?type=102
103,Эль вреда Ведьмы,food_potion_potion,https://haddan.ru/thing.php?type=103
104,Ржавый ключ,res_res_res,https://haddan.ru/thing.php?type=104
105,Купон на Улучшение Амулета Упавшей Звезды,other_other_other,https://haddan.ru/thing.php?type=105
106,Звёздный реликварий,food_potion_potion,https://haddan.ru/thing.php?type=106
107,Эликсир Молодости,food_potion_potion,https://haddan.ru/thing.php?type=107
108,Эликсир Молодости x1,food_potion_potion,https://haddan.ru/thing.php?type=108
109,Эликсир Молодости x2,food_potion_potion,https://haddan.ru/thing.php?type=109
110,Осадный ларец,food_potion_potion,https://haddan.ru/thing.php?type=110
111,Катапульта,other_other_other,https://haddan.ru/thing.php?type=111
112,Онагр,other_other_other,https://haddan.ru/thing.php?type=112
113,Таран,other_other_other,https://haddan.ru/thing.php?type=113
